PF;CFF;NOMENCLATURA;UN;PRICE UNIT(U$)
M36X1.5E22306;D8286;NUT,PLAIN,HEXAGON;EA;394,83
AN737RM107;88044;CLAMP,HOSE, INSIDE DIA 2.406 IN MINIMUM AND 3.344 IN, WIDTH 0.500 IN, STEEL CORROSION RESISTING;EA;5,01
MS75044-1;96906;WASHER,SPRING TENSION;EA;15,08
MS35214-28;96906;SCREW,MACHINE;EA;92,39
M83420/1-006;81349;ROPE,WIRE, DIA 0.188 (3/16) IN, 7 X 19, STEEL OVERALL;EA;3,87
AS21919WDG18;81343;CLAMP,LOOP;EA;7,53
MS21902J4;81343;NIPPLE,BOSS;EA;38,14
MS24693-C26;63020;SCREW,MACHINE;EA;22,16
AN960D416;88044;WASHER,FLAT;EA;118,48
AN310-5;80205;NUT,PLAIN,CASTELLATED,HEXAGON;EA;8,72
8774;F6137;SPACER,SLEEVE;EA;1925,25
14520A;F0189;SHAFT ASSY;EA;2109,81
MS27473T16B35S;96906;CONNECTOR,PLUG,ELECTRICAL;EA;236,19
AN320-7;80205;NUT;EA;26,06
875442-00;32345;NUT,SELF-LOCKING,EXTENDED WASHER,HEXAGON;EA;2,4
MS20001P4-7200;F6033;LEAF BUTT HING;EA;506,09
MS21251B3S;96906;TURNBUCKLE BODY;EA;64,12
23310AA020015L;F0111;PIN,COTTER;EA;7,86
H14-7;15653;NUT,SELF-LOCKING,EXTENDED WASHER,HEXAGON;EA;19,24
AN515-6-7;88044;SCREW,MACHINE;EA;7,04
LM-412-35;76005;SANDWICH MOUNTING ASSEMBLY;EA;5771,9
H14-8;15653;NUT,PLAIN,EXTENDED WASHER,HEXAGON;EA;9,65
GE4553;U0625;LAMP,INCANDESCENT, TRANSPARENT, 250 WATTS, 28 VOLTS,;EA;47,35
MS3108E18-19S;96906;CONECTOR PLUG;EA;271,44
MS20615-3M3;96906;RIVET,SOLID;EA;279,94
28314-16;53655;MASK,OXYGEN, PC95;EA;1514,97
14182;F6137;PIN,SHOULDER,HEADLESS;EA;144,73
H5000-2-051-250;83014;CATCH,FLUSH, MATERIAL STEEL CORROSION RESISTING;EA;878,74
18549;F6137;NUT,PLAIN,ROUND;EA;1180,62
302-247-400;04NP4;INNER TUBE,PNEUMATI,PNEUMATIC TIRE,AIRCRAFT, SIZE 6.50-8;EA;603,62
16844A;73760;TERMINAL;EA;390,17
M6904/2-1;01RR2;HORN,SIGNAL, LOUDNESS LEVEL IN DECIBELS 100 DB,3 FT;EA;6872,43
BESNSK24-10;4WGN1;GLOVE CHEMICAL RESISTANT NITRILE;EA;100,18
C742-20-60;A2142;GASKET;EA;30,01
AS3209-029;81343;O-RING, CROSS-SECTIONAL 0.067/0.073 IN, RUBBER FLUOROCARBON, TEMP RATING -15/400 DEG FAHRENHEIT;EA;6,6
DSX3H24S23S23S7301;F0503;CONNECTOR,RECEPTACLE,ELECTRICAL;EA;2779,61
147M121100;6141;PROTEC-A CONNECTOR KIT (PWR/DATA);EA;10091,89
MS51958-62;80205;SCREW;EA;56,21
A7635A;72914;CLAMP,LOOP;EA;1527,6
AN380-3-2;88044;PINCOTTER;EA;5,24
